,h1_nodes,h2_nodes,hidden_func_1,hidden_func_2,output_func,loss,accuracy,Loss
0,12,12,relu,relu,sigmoid,,0.34588921070098877,1.209289789199829
1,12,12,relu,relu,sigmoid,,0.5867055654525757,0.8587397336959839
2,12,12,relu,relu,sigmoid,,0.6377842426300049,0.707917332649231
3,12,12,relu,relu,sigmoid,,0.7088046669960022,1.624932885169983
4,12,12,relu,relu,sigmoid,,0.5227988362312317,0.6878337264060974
5,12,12,relu,relu,sigmoid,,0.5400583148002625,1.22189199924469
6,12,12,relu,relu,sigmoid,,0.6779008507728577,0.6458384990692139
7,12,12,relu,relu,sigmoid,,0.5497376322746277,0.697941780090332
8,12,12,relu,relu,sigmoid,,0.4731195271015167,1.4191606044769287
9,12,12,relu,relu,sigmoid,,0.6556268334388733,0.646923303604126
10,12,24,relu,relu,sigmoid,,0.5757434368133545,0.6738367080688477
11,12,24,relu,relu,sigmoid,,0.5331778526306152,1.4833109378814697
12,12,24,relu,relu,sigmoid,,0.5371428728103638,0.7674933671951294
13,12,24,relu,relu,sigmoid,,0.5575510263442993,0.7026348114013672
14,12,24,relu,relu,sigmoid,,0.5176676511764526,1.3107329607009888
15,12,24,relu,relu,sigmoid,,0.340058296918869,0.8273439407348633
16,12,24,relu,relu,sigmoid,,0.5835568308830261,0.6962006092071533
17,12,24,relu,relu,sigmoid,,0.5481049418449402,0.7485577464103699
18,12,24,relu,relu,sigmoid,,0.7044897675514221,1.1205946207046509
19,12,24,relu,relu,sigmoid,,0.6953935623168945,0.7804526686668396
20,12,36,relu,relu,sigmoid,,0.45469388365745544,0.7524512410163879
21,12,36,relu,relu,sigmoid,,0.5257142782211304,0.8896213173866272
22,12,36,relu,relu,sigmoid,,0.5189504623413086,0.7246553897857666
23,12,36,relu,relu,sigmoid,,0.6921283006668091,1.3349164724349976
24,12,36,relu,relu,sigmoid,,0.6349854469299316,0.6566413640975952
25,12,36,relu,relu,sigmoid,,0.6413994431495667,0.6655513644218445
26,12,36,relu,relu,sigmoid,,0.47825074195861816,1.976145625114441
27,12,36,relu,relu,sigmoid,,0.3827405273914337,1.0145941972732544
28,12,36,relu,relu,sigmoid,,0.6005830764770508,0.6833512783050537
29,12,36,relu,relu,sigmoid,,0.6001166105270386,0.7188585996627808
30,24,12,relu,relu,sigmoid,,0.6948105096817017,0.8316301107406616
31,24,12,relu,relu,sigmoid,,0.5766763687133789,0.8089084625244141
32,24,12,relu,relu,sigmoid,,0.5690962076187134,0.7575761675834656
33,24,12,relu,relu,sigmoid,,0.6934110522270203,0.6692548394203186
34,24,12,relu,relu,sigmoid,,0.7021574378013611,1.9899940490722656
35,24,12,relu,relu,sigmoid,,0.7001749277114868,0.6104637384414673
36,24,12,relu,relu,sigmoid,,0.7000582814216614,0.7313042283058167
37,24,12,relu,relu,sigmoid,,0.5084547996520996,0.7511916160583496
38,24,12,relu,relu,sigmoid,,0.5428571701049805,0.7537342309951782
39,24,12,relu,relu,sigmoid,,0.5316618084907532,1.2014633417129517
40,24,24,relu,relu,sigmoid,,0.5331778526306152,0.9153199195861816
41,24,24,relu,relu,sigmoid,,0.6443148851394653,1.1731375455856323
42,24,24,relu,relu,sigmoid,,0.6818658709526062,0.6360686421394348
43,24,24,relu,relu,sigmoid,,0.4548105001449585,1.4197921752929688
44,24,24,relu,relu,sigmoid,,0.31346938014030457,1.2814050912857056
45,24,24,relu,relu,sigmoid,,0.5050728917121887,0.8567989468574524
46,24,24,relu,relu,sigmoid,,0.697842538356781,0.941545844078064
47,24,24,relu,relu,sigmoid,,0.5292128324508667,0.6876672506332397
48,24,24,relu,relu,sigmoid,,0.44897958636283875,0.7534284591674805
49,24,24,relu,relu,sigmoid,,0.6939941644668579,0.6762824058532715
50,24,36,relu,relu,sigmoid,,0.6375510096549988,0.9175671935081482
51,24,36,relu,relu,sigmoid,,0.5432069897651672,0.764183759689331
52,24,36,relu,relu,sigmoid,,0.6832653284072876,0.6580668687820435
53,24,36,relu,relu,sigmoid,,0.6337026357650757,0.8804908394813538
54,24,36,relu,relu,sigmoid,,0.4922448992729187,0.758330762386322
55,24,36,relu,relu,sigmoid,,0.5229154229164124,0.7166091799736023
56,24,36,relu,relu,sigmoid,,0.6306705474853516,0.7039000391960144
57,24,36,relu,relu,sigmoid,,0.6085131168365479,0.6595675349235535
58,24,36,relu,relu,sigmoid,,0.6974927186965942,0.6352759003639221
59,24,36,relu,relu,sigmoid,,0.5022740364074707,0.8352968692779541
60,36,12,relu,relu,sigmoid,,0.6986588835716248,0.9757224917411804
61,36,12,relu,relu,sigmoid,,0.6957434415817261,0.760294497013092
62,36,12,relu,relu,sigmoid,,0.7026239037513733,0.7387740015983582
63,36,12,relu,relu,sigmoid,,0.692711353302002,1.024033546447754
64,36,12,relu,relu,sigmoid,,0.631603479385376,0.6594109535217285
65,36,12,relu,relu,sigmoid,,0.6853644251823425,1.189661979675293
66,36,12,relu,relu,sigmoid,,0.5694460868835449,0.6771764755249023
67,36,12,relu,relu,sigmoid,,0.4676384925842285,0.7565719485282898
68,36,12,relu,relu,sigmoid,,0.6977259516716003,1.4444655179977417
69,36,12,relu,relu,sigmoid,,0.6516618132591248,0.6849952936172485
