,h1_nodes,h2_nodes,hidden_func_1,hidden_func_2,output_func,loss,accuracy,Loss
0,24,22,relu,relu,sigmoid,,0.5331778526306152,1.0965063571929932
1,24,22,relu,tanh,sigmoid,,0.46682214736938477,0.7739965319633484
2,24,22,tanh,relu,sigmoid,,0.5739941596984863,0.6688553690910339
3,24,22,tanh,tanh,sigmoid,,0.4979591965675354,0.7757934927940369
4,24,26,relu,relu,sigmoid,,0.533527672290802,1.6928701400756836
5,24,26,relu,tanh,sigmoid,,0.5081049799919128,0.7121457457542419
6,24,26,tanh,relu,sigmoid,,0.5252478122711182,0.72886061668396
7,24,26,tanh,tanh,sigmoid,,0.5345772504806519,0.6904953718185425
8,24,30,relu,relu,sigmoid,,0.7079883217811584,1.069443702697754
9,24,30,relu,tanh,sigmoid,,0.46204081177711487,0.723555862903595
10,24,30,tanh,relu,sigmoid,,0.46017491817474365,0.6993578672409058
11,24,30,tanh,tanh,sigmoid,,0.5993002653121948,0.6770877242088318
12,32,22,relu,relu,sigmoid,,0.45655977725982666,0.990593671798706
13,32,22,relu,tanh,sigmoid,,0.5105539560317993,0.7354499101638794
14,32,22,tanh,relu,sigmoid,,0.46658891439437866,0.6983954906463623
15,32,22,tanh,tanh,sigmoid,,0.5252478122711182,0.7050461173057556
16,32,26,relu,relu,sigmoid,,0.6755685210227966,0.9795993566513062
17,32,26,relu,tanh,sigmoid,,0.4682215750217438,0.7475442886352539
18,32,26,tanh,relu,sigmoid,,0.42868804931640625,0.7286105155944824
19,32,26,tanh,tanh,sigmoid,,0.4214577376842499,0.7411385178565979
20,32,30,relu,relu,sigmoid,,0.5310786962509155,1.3144456148147583
21,32,30,relu,tanh,sigmoid,,0.4897959232330322,0.7443539500236511
22,32,30,tanh,relu,sigmoid,,0.5952186584472656,0.6703363656997681
23,32,30,tanh,tanh,sigmoid,,0.5871720314025879,0.6828229427337646
24,36,22,relu,relu,sigmoid,,0.5328279733657837,1.132194995880127
25,36,22,relu,tanh,sigmoid,,0.4388338327407837,0.7758310437202454
26,36,22,tanh,relu,sigmoid,,0.5757434368133545,0.6818912625312805
27,36,22,tanh,tanh,sigmoid,,0.5280466675758362,0.7197964191436768
28,36,26,relu,relu,sigmoid,,0.6352186799049377,2.4240663051605225
29,36,26,relu,tanh,sigmoid,,0.43871718645095825,0.74648517370224
30,36,26,tanh,relu,sigmoid,,0.5323615074157715,0.7851709723472595
31,36,26,tanh,tanh,sigmoid,,0.43895044922828674,0.7672654390335083
32,36,30,relu,relu,sigmoid,,0.6963265538215637,1.1474045515060425
33,36,30,relu,tanh,sigmoid,,0.5605831146240234,0.7016168236732483
34,36,30,tanh,relu,sigmoid,,0.5176676511764526,0.694254994392395
35,36,30,tanh,tanh,sigmoid,,0.5210495591163635,0.7336997389793396
36,40,22,relu,relu,sigmoid,,0.5131195187568665,0.8196115493774414
37,40,22,relu,tanh,sigmoid,,0.5199999809265137,0.7282092571258545
38,40,22,tanh,relu,sigmoid,,0.5162681937217712,0.7186891436576843
39,40,22,tanh,tanh,sigmoid,,0.45784255862236023,0.7338096499443054
40,40,26,relu,relu,sigmoid,,0.5245481133460999,1.6113818883895874
41,40,26,relu,tanh,sigmoid,,0.5601165890693665,0.7287182807922363
42,40,26,tanh,relu,sigmoid,,0.5645480751991272,0.7199124693870544
43,40,26,tanh,tanh,sigmoid,,0.6354519128799438,0.6427585482597351
44,40,30,relu,relu,sigmoid,,0.6760349869728088,0.6950108408927917
45,40,30,relu,tanh,sigmoid,,0.3945189416408539,0.7659202218055725
46,40,30,tanh,relu,sigmoid,,0.4304373264312744,0.7496317028999329
47,40,30,tanh,tanh,sigmoid,,0.582507312297821,0.676673173904419
